Industry	Function	Personality	Language	Qualification (academic)	Qualifiaction (professional)	Software	Programing Language	Soft Skill	Hard Skill	xxx	salary range min	salary range max
Accounting / Audit / Tax Services	Accounting	Action-orientated	Bahasa Malaysia	Accounting	AAMLP	3D Max	Ajax	communication_skills	3D drawings	Intern experience	0	39
Manufacturing	Accounting > Accountant	ad-hoc tasks	Cantonese	Architecture	ACA	Acronis	Android_SDK	complaint_handling	architecture_design	Minimum 2-3 year sales experience	40	59
Financial Services	Accounting > Accounting Clerk / Supervisor	Aggressive	Chinese	Bachelor_degree	ACAMS	After effect	Angular	critical_thinking	ARM		60	74
Wholesale / Retail	Accounting > Audit	aggressive	English	Biology	ACCA	Airflow	Angular_JS	interpersonal	art_sense		75	89
Information Technology	Accounting > Chief Accountant	attentive to details	French	Building Studies	ACCA_HKICPA	Ansible	Angular_js	leadership	broadband network		90	104
Hospitality / Catering	Accounting > Consulting	cheerful	Hindi	business	ACCA_or_equivalent	Apache	AngularJS	negotiation_skill	brokerage		105	134
Telecommunication	Accounting > Credit Control	customer-oriented	Indonesian	Business Administration	Accountant	Athena	Apache	problem_solving	C/AL programming		135	159
Management Consultancy / Service	Accounting > Finance / Accounting Manager	detail minded	Italian	Degree	Accounting	Autocad	Application_Server	procurement	Chinese Word Processing		160	184
Others	Accounting > Financial Analyst	detail-minded	Japanese	Finance	accounting_bodies	AWS	ASP_NET	relationship_builder	cloud_computing		185	239
Human Resources Management / Consultancy	Accounting > Financial Controller	detail-oriented	Korean	Form 3	ACII	Azure	ASP.NET	strong_analytical	compliance		240	289
Property Development	Accounting > Others	efficient	Mandarin	Interior Architecture	ACII_or_ANZIIF	BigQuery	assembly_language		Computer_literate		290	369
Engineering - Others	Accounting > Taxation	Energetic	Putonghua	Interior Design	Actuarial	Brocade	Backend		copy cataloguing		370	469
Medical / Pharmaceutical	Accounting > Treasurer	energetic	Tagalog	Librarianship	AHKIB	CAD	Bash		cryptocurrency		470	629
Industrial Machinery / Automation Equipment	Admin & HR	fast-paced	Thai	Library Science	AICPA	Cloudera	BDD		DCM / DBM / SEM / Social		850	849
Health & Beauty Care	Admin & HR > Administration / Operation Manager	flexible		marketing	ANZIIF	Cognos	Bootstrap		electrical schematic diagram design		8,000	7,999
General Business Services	Admin & HR > Clerical / Admin Staff	Good network		Matriculated	association	Crystal_Report	C_C		fabrication		11,000	10,999
