ID	incorr_sentence	corr_sentence	word count	wrong1	correct1	wrong2	correct2	wrong3	correct3	wrong4	correct4	wrong5	correct5	wrong6	correct6	src
1	Its my birthday tomorrow.	It’s my birthday tomorrow.	4	V0	0,1|||It 's											https://www.grantham.edu/blog/6-common-grammatical-mistakes-avoid-cover-letters/
2	A llama is known for it's ability to spit when it feel threatened.	A llama is known for its ability to spit when it feels threatened.	13	Npos	5,7|||its	SVA	12,13|||feels									https://www.grantham.edu/blog/6-common-grammatical-mistakes-avoid-cover-letters/
3	I possess wide range to abilities that combine innovative art and design principles.	I possess a wide range of abilities that combine innovative art and design principles.	14	ArtOrDe	2,2|||a	Prep	4,5|||of									https://resumegenius.com/cover-letter-examples/graphic-designer-cover-letter-sample
4	Furthermore, my professional knowledge Adobe Creative Suite, HTML5, and CSS will allowed me to play an important roles in the implementation of you're design initiatives. 	Furthermore, my professional knowledge of Adobe Creative Suite, HTML5, and CSS will allow me to play an important role in the implementation of your design initiatives. 	26	Prep	5,5|||of	Vt	14,15|||allow	Nn	20,21|||role	Npos	25,27|||your					https://resumegenius.com/cover-letter-examples/graphic-designer-cover-letter-sample
5	Lead a team of three designer to develop and implementing the layout, graphic, and production communication materials while helping clients cut their costs by a average from 8%.	Lead a team of three designers to develop and implement the layout, graphic, and production communication materials while helping clients cut their costs by an average of 8%.	28	Nn	5,6|||designers	Spar	9,10|||implement	ArtOrDe	26,27|||an	Prep	28,29|||of					https://resumegenius.com/cover-letter-examples/graphic-designer-cover-letter-sample
6	I welcome the opportunity to discuss about personally you how my skills and strengths should best serve your company.	I welcome the opportunity to discuss with you personally how my skills and strengths can best serve your company.	19	Prep	6,7|||with	WOadv	7,9|||you personally	Vm	14,15|||can							https://resumegenius.com/cover-letter-examples/graphic-designer-cover-letter-sample
7	I appreciate you times and considering.	I appreciate your time and consideration.	6	Pform	2,3|||your	Nn	3,4|||time	Mec	5,6|||consideration							https://resumegenius.com/cover-letter-examples/graphic-designer-cover-letter-sample
8	While employed there, I assist in the development and rollout new department practises, and helped improve our system respond time with 6%.	While employed there, I assisted in the development and rollout of new department practices, and helped improve our system response time by 6%.	23	Vt	5,6|||assisted	Prep	11,11|||of	Mec	13,14|||practices	Wci	20,22|||response time	Prep	22,23|||by			https://resumegenius.com/cover-letter-examples#entry-level-cover-letter-example
9	Please do not hesitate to reach out you has any questions, and I look forward to opportunity to speak to you further.	Please do not hesitate to reach out if you have any questions, and I look forward to the opportunity to speak with you further.	24	Trans	7,7|||if	SVA	8,9|||have	ArtOrDe	17,17|||the	Prep	20,21|||with					https://resumegenius.com/cover-letter-examples#entry-level-cover-letter-example
10	Moreover, while my on-the-job experience has afforded me a well-round skill set, including first-rate multi-tasking and communication abilities, I am excel at design layouts, producing images, and developing styles for websites, social medium profiles, and corporate communications.	Moreover, while my on-the-job experience has afforded me a well-rounded skill set, including first-rate multi-tasking and communication abilities, I excel at designing layouts, producing images, and developing styles for websites, social media profiles, and corporate communications.	36	Wci	10,11|||well-rounded	Vform	22,24|||excel	Spar	25,26|||designing	Wci	37,39|||social media					https://www.livecareer.com/cover-letter/examples/graphic-web-design/designer
11	On learning of your post for a Clerk, I hastened to submit me resume for your review.	Upon learning of your posting for a Clerk, I hastened to submit my resume for your review.	17	Prep	0,1|||Upon	Vform	4,5|||posting	Pform	13,14|||my							https://www.jobhero.com/receptionist-cover-letter/
12	From maniging multi-line phone systems and resolving customer inquiry to scheduling appointments and providing outstanding costomer service, I excel at prioritizing tasks, collaborating for staff, and implementing high effective organizational processes.	From managing multi-line phone systems and resolving customer inquiries to scheduling appointments and providing outstanding customer service, I excel at prioritizing tasks, collaborating with staff, and implementing highly effective organizational processes.	31	Mec	1,2|||managing	Nn	8,9|||inquiries	Mec	15,16|||customer	Wci	24,26|||collaborating with	Wform	30,31|||highly			https://www.jobhero.com/receptionist-cover-letter/
13	I have seven years work experiences as a recptionist in a large organization responsible to handling all calls and visitors in addition to providing extensive organizational and administration support.	I have seven years work experience as a receptionist in a large organization responsible for handling all calls and visitors in addition to providing extensive organizational and administrative support.	29	Nn	5,6|||experience	Mec	8,9|||receptionist	Prep	14,15|||for	Wform	27,28|||administrative					https://www.best-job-interview.com/receptionist-cover-letter.html
14	My strong communication skills and a outgoing, energetic personality ensure first-rate customer service to both clients and colleagues.	My strong communication skills and an outgoing, energetic personality ensure first-rate customer service to both clients and colleagues.	18	ArtOrDe	5,6|||an											https://www.best-job-interview.com/receptionist-cover-letter.html
15	As a seasoned receptionists, I have been able to grow and adapt to the ever-charging technology use in offices over years.	As a seasoned receptionist, I have been able to grow and adapt to the ever-changing technology used in offices over the years.	22	Nn	3,4|||receptionist	Mec	15,16|||ever-changing	Vform	17,18|||used	ArtOrDe	21,21|||the					https://www.indeed.com/career-advice/cover-letter-samples/receptionist
16	I recent position as Receptionist at Cloud Clearwater includes operating a multi-line phone system, invoicing, event planning, scheduling, and performing all of the vital computer functions need to succeed in the technological ape.	My recent position as Receptionist at Cloud Clearwater included operating a multi-line phone system, invoicing, event planning, scheduling, and performing all of the vital computer functions needed to succeed in the technological age.	33	Pform	0,1|||My	Vt	8,9|||included	Vform	30,31|||needed	Mec	36,37|||age					https://www.indeed.com/career-advice/cover-letter-samples/receptionist
17	In additional to this experience, I gained considerably customer service skills during my part-time employment as waitress and restaurant hostress while in the high school.	In addition to this experience, I gained considerable customer service skills during my part-time employment as a waitress and restaurant hostess while in high school.	25	Wci	0,3|||In addition to	Wform	8,9|||considerable	ArtOrDe	17,17|||a	Mec	20,21|||hostess	ArtOrDe	23,24|||			https://www.mindsumo.com/cover-letters/Bakery/Full-Time/829
18	Pls see the accompany resume for details of my experience and education.	Please see the accompanying resume for details of my experience and education.	12	Mec	0,1|||Please	Vform	3,4|||accompanying									https://www.mindsumo.com/cover-letters/Bakery/Full-Time/829
19	A challenging environment such as yours will give me the opportunity to make the best use of my skills and experience.	A challenging environment such as yours will give me the opportunity to make the best use of my skills and experience.	21													https://requestletters.com/home/bakery-assistant-cover-letter-samples
20	The reasons I know I well suited to it position are that I have over five years experience as a Laboratory Assistant, as well assistant in a medical office for general practice as need.	The reasons I know I am well suited to this position are that I have over five years' experience as a Laboratory Assistant, as well as assistance in a medical office for general practice as needed.	36	V0	5,5|||am	Pref	8,9|||this	Npos	16,17|||years '	Wci	23,25|||as well as	Wform	25,26|||assistance	Vform	34,35|||needed	https://www.greatsampleresume.com/cover-letters/laboratory-assistant-cover-letter/
21	I knew then that my career may involve me sitting besides a microscope.	I knew then that my career would involve me sitting behind a microscope.	13	Vm	6,7|||would	Prep	10,11|||behind									https://www.icover.org.uk/laboratory-assistant-cover-letter-example/
22	I took work at a local private laboratory to get experience and see I enjoyed it, and later progressed to Inner City Hospital, where I worked underneath the biological scientists, processing human tissue samples and reporting findings so the scientists or doctors within the hospital could diagnose disease.	I took work at a local private laboratory to get experience and see if I enjoyed it. I later progressed to Inner City Hospital, where I worked underneath the biological scientists, processing human tissue samples and reporting findings so the scientists or doctors within the hospital could diagnose disease.	49	Trans	13,13|||if	Srun	16,18|||. I									https://www.icover.org.uk/laboratory-assistant-cover-letter-example/
23	Last sumer, I was a party of a marketing program prepared me in social media markerting.	Last summer, I was a part of a marketing program that prepared me in social media markerting.	17	Mec	1,2|||summer	Wci	5,8|||a part of	Ssub	11,11|||that							https://resumecompanion.com/cover-letter-examples/marketing-intern-cover-letter-sample/
24	This is what excites me most about the offer at you start-up.	This is what excites me most about the offer at your start-up.	12	Pform	10,11|||your											https://resumelab.com/cover-letter-examples/digital-marketing
25	With time passing, I have been updating me with the latest technologies though constantly learning and practice. 	With passing time, I have been updating myself with the latest technologies through constant learning and practice. 	17	WOinc	1,3|||passing time	Pform	8,9|||myself	Prep	13,14|||through	Wform	14,15|||constant					https://www.bestsampleresume.com/resume-cover-letters/manager/program-manager-cover-letter.html
26	I highly passionate for this profession and it give me immense pleasure to face new chalenges at workplaces.	I am highly passionate for this profession and it gives me immense pleasure to face new challenges at workplace.	19	V0	1,1|||am	SVA	8,9|||gives	Mec	15,16|||challenges	Nn	17,18|||workplace					https://www.bestsampleresume.com/resume-cover-letters/manager/program-manager-cover-letter.html
27	Now that my youngest has started kindergarden, I eager to return for workforce.	Now that my youngest has started kindergarten, I am eager to return to the workforce.	15	Mec	6,7|||kindergarten	V0	9,9|||am	Prep	12,13|||to	ArtOrDe	13,13|||the					https://biginterview.com/cover-letter-examples/
28	I'll make me available at your convenience and looking forward to your calling to arrange a time.	I will make myself available at your convenience and look forward to your call to arrange a time.	18	Wtone	0,2|||I will	Pform	3,4|||myself	Spar	9,10|||look	Wform	13,14|||call					https://biginterview.com/cover-letter-examples/
29	I finished writing my cover letter, and I’m going to e-mail it to about 50 contacts tomorrow.	I finished writing my cover letter. I’m going to email it to about 50 contacts tomorrow.	16	Srun	6,10|||. I 'm	Mec	12,13|||email									https://www.dummies.com/careers/find-a-job/cover-letters/grammar-fundamentals-for-cover-letters/
30	Your recent job posting indicates that you are looking to a responsible, experience driver to join your team in Victory Company.	Your recent job posting indicated that you are looking for a responsible, experienced driver to join your team at Victory Company.	21	Vt	4,5|||indicated	Wci	8,10|||looking for	Vform	13,14|||experienced	Prep	19,20|||at					https://www.resume-now.com/cover-letter/examples/driving/driver
31	I comprehend the necessary of assisting passengers with embarking and disembarking and loading and unloading cargo when required.	I comprehend the necessity of assisting passengers with embarking and disembarking and loading and unloading cargo when required.	18	Wform	3,4|||necessity											http://www.bestcvresume.com/2013/01/driver-cover-letter-sample.html
32	As a experienced driver with over a decade of service driving both commercial and private vehicles, I am confidence of my suitability for this position.	As an experienced driver with over a decade of service driving both commercial and private vehicles, I am confident of my suitability for this position.	25	ArtOrDe	1,2|||an	Wform	19,20|||confident									http://www.bestcvresume.com/2013/01/driver-cover-letter-sample.html
33	My professional creed and contributions include: skilled at building lasting relationships with homeowners, who frequently request project advise.	My professional creed and contributions include: skilled in building lasting relationships with homeowners, who frequently request project advice.	18	Wci	6,8|||skilled in	Mec	18,19|||advice									https://www.thebalancecareers.com/construction-management-cover-letter-example-2060191
34	If you agrees that well-managed projects should exceed customers expectations regarding quality and service, we can talk.	If you agree that well-managed projects should exceed customers' expectations regarding quality and service, we should talk.	17	SVA	2,3|||agree	Npos	8,9|||customers '	Vm	16,17|||should							https://www.thebalancecareers.com/construction-management-cover-letter-example-2060191
35	I offer more than 13 years strong experience in performing construction site tasks to finish projects in time and on budget.	I offer more than 13 years of strong experience in performing construction site tasks to finish projects on time and on budget.	22	Prep	6,6|||of	Wci	16,17|||on									https://www.jobhero.com/construction-worker-cover-letter/
36	I have pleasing personal and excel at both oral and written communication.	I have a pleasing personality and excel in both oral and written communication.	13	ArtOrDe	2,2|||a	Wform	3,4|||personality	Wci	6,7|||in							https://www.coverletter.us/cover-letter-examples/flight-attendant-cover-letter/
37	Three major customer satisfaction award that I have received so far a testimony to those.	Three major customer satisfaction awards that I have received so far is a testimony to this.	16	Nn	4,5|||awards	V0	11,11|||is	Pform	14,15|||this							https://www.coverletter.us/cover-letter-examples/flight-attendant-cover-letter/
38	I recent receive a letter of appreciation from management for my role in diffusing a possibly crisis situation.	I recently received a letter of appreciation from management for my role in diffusing a possible crisis situation.	18	Wform	1,2|||recently	Vt	2,3|||received	Wform	15,16|||possible							https://www.coverletter.us/cover-letter-examples/flight-attendant-cover-letter/
39	I am licensed from the State Bar of Panang, and I received a Dotor of Jurisprudence degree with Northwest Panang University, graduating in top 3% of my class.	I am licensed by the State Bar of Panang, and I received a Doctor of Jurisprudence degree from Northwest Panang University, graduating in the top 3% of my class.	29	Prep	3,4|||by	Mec	14,15|||Doctor	Prep	18,19|||from	ArtOrDe	25,25|||the					https://www.indeed.com/career-advice/cover-letter-samples/attorney
40	At end of the program, I was able to implement one of my idea to conducting weekly recap presentations of customers' trips, which led over 1,000 new Facebook follower.	At the end of the program, I was able to implement one of my ideas to conduct weekly recap presentations of customers' trips, which led to over 1,000 new Facebook followers.	31	ArtOrDe	1,1|||the	Nn	14,15|||ideas	Vform	16,17|||conduct	Prep	27,27|||to	Nn	31,32|||followers			https://resumecompanion.com/cover-letter-examples/marketing-intern-cover-letter-sample/
41	I also presented arguments to the Court on bail hearings, and learned a great deal on trial methods.	I also presented arguments to the Court in bail hearings, and learned a great deal about trial methods.	18	Wci	6,8|||Court in	Prep	16,17|||about									https://resumeformat-2019.com/cover-letter-template-law-firm/
42	I want him or her to explore the melodies and tunes and find peace to them like my do.	I want them to explore the melodies and tunes and find peace in them like I do.	17	Pref	2,5|||them	Prep	14,15|||in	Pform	17,18|||I							https://www.bestsampleresume.com/resume-cover-letters/teacher/music-teacher-cover-letter.html
